date,pm25,pm10,o3,no2,so2,co
21-02-2024,147,81,21,21,2,5
20-02-2024,118,98,22,23,3,6
19-02-2024,108,93,14,20,3,4
18-02-2024,119,75,16,15,8,7
17-02-2024,159,64,18,16,5,6
16-02-2024,178,87,26,26,4,12
15-02-2024,144,89,25,23,6,8
14-02-2024,153,76,28,19,4,6
13-02-2024,168,81,23,25,4,6
12-02-2024,170,95,25,30,3,6
11-02-2024,149,86,29,44,4,5
10-02-2024,118,75,25,52,5,5
09-02-2024,132,61,23,58,5,5
08-02-2024,129,68,24,19,6,6
07-02-2024,106,67,18,16,6,5
06-02-2024,105,62,27,11,5,5
05-02-2024,94,59,25,12,5,3
04-02-2024,137,52,22,7,4,3
03-02-2024,162,62,15,8,4,5
02-02-2024,154,101,6,14,5,10
01-02-2024,177,77,26,8,3,4
31-01-2024,153,92,25,10,3,8
30-01-2024,172,79,27,8,3,6
29-01-2024,159,93,14,18,8,8
28-01-2024,132,86,22,24,9,8
27-01-2024,157,73,32,23,10,6
26-01-2024,159,85,25,36,5,10
25-01-2024,160,85,30,19,5,8
24-01-2024,153,83,28,20,5,9
23-01-2024,143,73,29,22,4,7
22-01-2024,151,73,26,20,6,7
21-01-2024,169,79,28,18,8,6
20-01-2024,170,94,26,27,8,8
19-01-2024,155,97,29,21,9,7
18-01-2024,166,66,8,17,7,7
17-01-2024,161,82,23,20,7,8
16-01-2024,154,76,30,6,6,7
15-01-2024,156,74,36,12,5,7
14-01-2024,167,84,33,20,6,10
13-01-2024,156,78,13,24,4,7
12-01-2024,169,391,30,25,3,8
11-01-2024,186,104,33,39,6,15
10-01-2024,155,107,24,31,8,8
09-01-2024,178,75,10,32,5,10
08-01-2024,179,94,11,25,6,7
07-01-2024,175,97,17,18,6,7
06-01-2024,191,92,25,11,7,5
05-01-2024,154,115,16,31,6,11
04-01-2024,161,72,20,17,7,8
03-01-2024,173,78,18,17,6,9
02-01-2024,169,91,28,16,4,7
01-01-2024,176,83,14,15,4,7
