city_id,date,temperature,humidity,wind_speed,precipitation
1,2024-09-30,27.6,79.2,8.1,0.0
1,2024-10-01,28.1,77.6,8.0,0.0
1,2024-10-02,28.9,74.2,8.2,0.0
1,2024-10-03,28.3,68.2,9.4,0.0
1,2024-10-04,28.0,70.5,8.1,0.0
1,2024-10-05,28.2,69.2,9.2,0.0
1,2024-10-06,27.5,66.5,7.9,0.4
1,2024-10-07,26.6,70.8,6.6,0.0
1,2024-10-08,26.7,70.6,6.3,0.0
1,2024-10-09,26.3,66.0,7.2,0.0
1,2024-10-10,26.0,60.3,8.8,0.0
1,2024-10-11,24.4,59.3,9.0,0.0
1,2024-10-12,24.9,63.3,7.7,0.0
1,2024-10-13,25.6,59.2,6.8,0.0
1,2024-10-14,25.2,59.0,6.6,0.0
1,2024-10-15,24.6,60.9,8.2,0.0
1,2024-10-16,25.2,60.2,6.5,0.0
1,2024-10-17,26.2,64.0,5.7,0.0
1,2024-10-18,26.2,65.1,5.7,0.0
1,2024-10-19,26.5,64.9,5.8,0.0
1,2024-10-20,26.2,68.6,6.5,0.0
1,2024-10-21,25.6,70.3,6.3,0.0
1,2024-10-22,25.0,71.2,7.0,0.0
1,2024-10-23,25.5,64.0,10.0,0.0
1,2024-10-24,25.3,60.2,10.7,0.0
1,2024-10-25,24.7,61.8,9.9,0.0
1,2024-10-26,24.3,68.5,8.0,0.0
1,2024-10-27,25.4,72.6,6.0,0.0
1,2024-10-28,25.7,71.1,6.9,0.0
1,2024-10-29,26.3,70.7,6.6,0.0
1,2024-10-30,26.6,68.9,6.7,0.0
1,2024-10-31,25.5,63.8,10.3,0.0
1,2024-11-01,24.5,54.7,10.6,0.0
1,2024-11-02,23.8,58.9,6.2,0.0
1,2024-11-03,23.6,60.8,6.4,0.0
1,2024-11-04,22.6,68.3,6.8,0.0
1,2024-11-05,23.0,74.2,6.2,0.0
1,2024-11-06,23.7,69.6,5.4,0.0
1,2024-11-07,24.0,68.8,5.4,0.0
1,2024-11-08,24.3,68.8,5.0,0.0
1,2024-11-09,24.6,67.5,7.2,0.0
1,2024-11-10,23.9,73.0,6.7,0.0
1,2024-11-11,24.0,73.6,5.7,0.0
1,2024-11-12,24.2,64.0,7.8,0.0
1,2024-11-13,22.9,62.9,5.7,0.0
1,2024-11-14,22.3,64.5,3.4,0.0
1,2024-11-15,22.3,58.7,6.8,0.0
1,2024-11-16,22.2,61.2,5.8,0.0
1,2024-11-17,21.6,65.2,5.8,0.0
1,2024-11-18,19.9,63.6,6.5,0.0
1,2024-11-19,18.9,57.1,5.7,0.0
1,2024-11-20,18.4,56.9,5.3,0.0
1,2024-11-21,18.4,57.5,5.3,0.0
1,2024-11-22,18.9,62.0,4.0,0.0
1,2024-11-23,19.8,58.2,3.7,0.0
1,2024-11-24,20.2,55.1,7.0,0.0
1,2024-11-25,19.4,65.1,7.5,0.0
1,2024-11-26,18.5,61.3,6.6,0.0
1,2024-11-27,18.3,56.8,4.7,0.0
1,2024-11-28,17.7,60.6,3.6,0.0
1,2024-11-29,17.2,68.2,3.0,0.0
1,2024-11-30,17.4,68.7,4.6,0.0
1,2024-12-01,18.1,68.0,4.8,0.0
1,2024-12-02,18.1,65.8,4.9,0.0
1,2024-12-03,18.9,62.4,6.9,0.0
1,2024-12-04,19.0,54.1,10.5,0.0
1,2024-12-05,16.8,50.5,8.2,0.0
1,2024-12-06,16.6,50.8,7.5,0.0
1,2024-12-07,15.6,51.7,3.4,0.0
1,2024-12-08,16.5,51.8,10.4,1.2
1,2024-12-09,14.6,68.2,6.1,0.0
1,2024-12-10,13.7,57.0,8.9,0.0
1,2024-12-11,12.8,54.2,8.1,0.0
1,2024-12-12,12.9,61.5,7.1,0.0
1,2024-12-13,13.6,54.1,11.8,0.0
1,2024-12-14,13.5,50.5,9.5,0.0
1,2024-12-15,12.7,61.8,3.9,0.0
1,2024-12-16,12.5,78.0,3.6,0.0
1,2024-12-17,12.5,78.5,3.7,0.0
1,2024-12-18,12.6,75.9,3.7,0.0
1,2024-12-19,13.6,65.6,4.3,0.0
1,2024-12-20,15.2,68.7,5.9,0.0
1,2024-12-21,14.4,69.5,5.1,0.0
1,2024-12-22,15.1,64.0,3.2,0.0
1,2024-12-23,14.4,69.8,7.9,2.0
1,2024-12-24,14.4,78.6,6.3,4.7
1,2024-12-25,14.0,82.7,5.1,0.0
1,2024-12-26,14.6,77.4,3.5,0.0
1,2024-12-27,14.3,89.5,8.7,34.2
1,2024-12-28,14.9,89.0,5.6,0.3
1,2024-12-29,13.1,87.3,8.0,0.0
1,2024-12-30,12.3,88.1,7.1,0.0
1,2024-12-31,10.6,90.2,3.6,0.0
2,2024-01-01,25.3,66.1,9.0,0.0
2,2024-01-02,24.8,67.2,10.4,0.0
2,2024-01-03,24.3,65.3,10.9,0.0
2,2024-01-04,23.5,75.2,12.3,0.0
2,2024-01-05,23.2,73.2,10.0,0.0
2,2024-01-06,25.1,61.0,12.8,0.0
2,2024-01-07,25.4,64.0,9.8,0.0
2,2024-01-08,26.8,56.6,11.0,0.0
2,2024-01-09,26.3,69.6,7.0,0.7
2,2024-01-10,25.9,70.9,7.8,0.7
2,2024-01-11,27.1,65.8,10.7,0.8
2,2024-01-12,27.6,61.4,10.7,0.0
2,2024-01-13,26.7,62.3,10.5,0.0
2,2024-01-14,26.4,49.6,12.0,0.0
2,2024-01-15,24.7,41.7,12.7,0.0
2,2024-01-16,22.5,57.2,10.2,0.0
2,2024-01-17,22.1,64.8,9.3,0.0
2,2024-01-18,22.3,65.8,9.3,0.0
2,2024-01-19,22.2,70.0,8.1,0.0
2,2024-01-20,23.0,65.5,12.2,0.0
2,2024-01-21,23.9,52.0,10.7,0.0
2,2024-01-22,23.3,53.0,9.8,0.0
2,2024-01-23,23.9,38.7,16.4,0.0
2,2024-01-24,23.9,39.0,14.7,0.0
2,2024-01-25,23.9,43.3,10.1,0.0
2,2024-01-26,23.9,48.0,9.4,0.0
2,2024-01-27,24.9,47.1,10.6,0.0
2,2024-01-28,24.9,46.7,10.9,0.0
2,2024-01-29,25.3,43.1,13.1,0.0
2,2024-01-30,24.8,49.3,12.4,0.0
2,2024-01-31,23.8,63.8,11.7,0.0
2,2024-02-01,23.0,69.6,10.8,0.0
2,2024-02-02,23.8,67.5,12.3,0.0
2,2024-02-03,26.5,49.6,11.7,0.0
2,2024-02-04,26.3,54.6,7.9,0.0
2,2024-02-05,26.5,54.2,12.4,0.0
2,2024-02-06,25.9,56.9,12.9,0.0
2,2024-02-07,26.3,57.8,15.9,0.0
2,2024-02-08,25.9,52.7,14.9,0.0
2,2024-02-09,24.7,52.2,13.6,0.0
2,2024-02-10,24.9,41.5,14.2,0.0
2,2024-02-11,24.2,44.8,13.1,0.0
2,2024-02-12,24.4,52.6,10.2,0.0
2,2024-02-13,25.0,41.9,13.3,0.0
2,2024-02-14,25.8,39.2,15.2,0.0
2,2024-02-15,26.0,44.2,13.0,0.0
2,2024-02-16,26.4,56.5,8.1,0.0
2,2024-02-17,26.5,58.5,8.0,0.0
2,2024-02-18,26.9,55.3,11.4,0.0
2,2024-02-19,25.9,50.1,12.6,0.0
2,2024-02-20,25.5,61.7,13.5,0.0
2,2024-02-21,24.1,75.5,10.0,0.1
2,2024-02-22,24.3,78.0,11.4,0.2
2,2024-02-23,24.5,63.2,13.4,0.0
2,2024-02-24,24.9,34.9,16.2,0.0
2,2024-02-25,25.7,29.3,11.9,0.0
2,2024-02-26,26.5,47.2,9.1,0.0
2,2024-02-27,27.5,51.2,11.0,0.0
2,2024-02-28,28.0,41.5,10.7,0.0
2,2024-02-29,28.3,52.8,10.6,0.0
2,2024-03-01,27.6,59.6,11.6,0.0
2,2024-03-02,26.0,76.8,9.9,0.0
2,2024-03-03,24.6,73.2,14.4,0.2
2,2024-03-04,22.9,61.8,12.8,0.0
2,2024-03-05,23.9,46.0,11.5,0.0
2,2024-03-06,24.5,35.5,12.7,0.0
2,2024-03-07,26.4,39.2,14.1,0.0
2,2024-03-08,28.0,29.8,15.4,0.0
2,2024-03-09,27.9,31.0,13.7,0.0
2,2024-03-10,26.9,36.0,14.7,0.0
2,2024-03-11,27.5,46.6,15.0,0.0
2,2024-03-12,28.1,45.1,13.6,0.0
2,2024-03-13,26.5,64.2,14.7,0.0
2,2024-03-14,25.6,70.5,13.5,0.0
2,2024-03-15,24.5,73.6,10.1,0.0
2,2024-03-16,24.6,74.9,11.0,0.0
2,2024-03-17,25.3,75.2,10.0,0.0
2,2024-03-18,26.1,78.8,9.0,0.0
2,2024-03-19,26.7,68.4,11.0,0.0
2,2024-03-20,29.1,31.5,13.8,0.0
2,2024-03-21,29.7,27.5,10.0,0.0
2,2024-03-22,27.3,67.7,9.6,0.0
2,2024-03-23,27.0,68.5,10.3,0.0
2,2024-03-24,26.8,75.1,11.7,0.0
2,2024-03-25,27.4,72.7,12.8,0.0
2,2024-03-26,27.6,70.9,11.7,0.0
2,2024-03-27,27.5,79.5,10.1,0.0
2,2024-03-28,27.7,77.8,9.6,0.0
2,2024-03-29,28.6,69.5,11.2,0.0
2,2024-03-30,28.5,65.8,14.5,0.0
2,2024-03-31,29.0,54.9,15.2,0.0
2,2024-04-01,28.5,67.6,13.6,0.0
2,2024-04-02,27.4,71.5,10.4,0.0
2,2024-04-03,27.2,70.5,10.5,0.0
2,2024-04-04,27.7,71.4,13.5,0.0
2,2024-04-05,29.4,61.5,16.0,0.0
2,2024-04-06,31.1,43.7,18.6,0.0
2,2024-04-07,30.2,46.5,16.4,0.0
2,2024-04-08,27.8,66.5,10.6,0.0
2,2024-04-09,27.9,74.4,10.1,0.0
2,2024-04-10,27.8,77.0,10.8,0.0
2,2024-04-11,27.9,72.6,9.6,0.0
2,2024-04-12,27.8,66.5,10.3,0.0
2,2024-04-13,26.8,72.7,9.5,0.0
2,2024-04-14,27.4,79.2,11.4,0.0
2,2024-04-15,31.1,64.5,12.3,0.0
2,2024-04-16,34.1,47.5,14.0,0.0
2,2024-04-17,31.0,65.8,11.5,0.0
2,2024-04-18,30.6,73.2,11.1,0.0
2,2024-04-19,31.0,64.2,12.4,0.0
2,2024-04-20,30.6,59.0,14.0,0.0
2,2024-04-21,29.7,61.3,14.9,0.0
2,2024-04-22,29.9,65.8,14.6,0.0
2,2024-04-23,29.3,67.8,13.6,0.0
2,2024-04-24,29.1,72.3,13.2,0.0
2,2024-04-25,29.5,67.9,14.4,0.0
2,2024-04-26,30.2,64.8,13.9,0.0
2,2024-04-27,31.2,60.2,15.7,0.0
2,2024-04-28,33.1,47.1,17.7,0.0
2,2024-04-29,32.7,43.6,16.8,0.0
2,2024-04-30,31.9,53.0,15.0,0.0
2,2024-05-01,29.6,64.1,11.4,0.0
2,2024-05-02,28.8,69.4,9.3,0.0
2,2024-05-03,28.1,77.0,9.9,0.0
2,2024-05-04,28.9,79.6,11.2,0.0
2,2024-05-05,29.9,73.9,11.6,0.0
2,2024-05-06,29.3,77.9,11.1,0.0
2,2024-05-07,29.4,77.1,11.5,0.0
2,2024-05-08,29.7,73.8,11.4,0.0
2,2024-05-09,29.7,77.0,10.2,0.0
2,2024-05-10,29.6,76.5,11.5,0.0
2,2024-05-11,29.9,77.6,13.2,0.0
2,2024-05-12,30.4,74.8,13.3,0.0
2,2024-05-13,30.6,73.5,10.9,1.8
2,2024-05-14,31.4,64.5,12.9,0.0
2,2024-05-15,31.4,69.2,11.4,0.0
2,2024-05-16,32.4,65.5,7.1,0.1
2,2024-05-17,31.6,67.4,9.4,0.0
2,2024-05-18,31.2,79.0,8.5,0.0
2,2024-05-19,30.9,77.0,9.6,5.6
2,2024-05-20,31.6,73.9,12.4,0.0
2,2024-05-21,31.8,74.9,11.4,0.1
2,2024-05-22,31.5,77.0,12.8,0.3
2,2024-05-23,31.1,78.1,11.9,0.0
2,2024-05-24,31.1,75.8,11.9,0.2
2,2024-05-25,31.0,72.9,14.1,0.7
2,2024-05-26,31.2,69.1,16.5,0.5
2,2024-05-27,30.9,72.0,16.4,0.5
2,2024-05-28,31.2,69.7,17.1,0.6
2,2024-05-29,31.5,64.4,18.4,0.4
2,2024-05-30,31.7,65.3,14.4,0.2
2,2024-05-31,30.8,79.3,11.2,0.6
2,2024-06-01,31.0,74.4,12.0,0.8
2,2024-06-02,31.3,69.5,11.3,0.3
2,2024-06-03,31.6,69.9,9.3,0.7
2,2024-06-04,30.1,77.0,9.1,4.8
2,2024-06-05,29.6,78.1,9.5,6.7
2,2024-06-06,29.9,77.9,7.9,1.2
2,2024-06-07,30.5,73.6,11.6,1.1
2,2024-06-08,30.0,74.0,12.0,6.3
2,2024-06-09,28.8,81.3,8.5,23.0
2,2024-06-10,27.2,87.2,7.5,33.2
2,2024-06-11,27.8,86.9,7.6,10.8
2,2024-06-12,27.8,86.1,10.2,14.3
2,2024-06-13,27.7,86.0,10.5,13.6
2,2024-06-14,27.2,86.4,11.3,8.6
2,2024-06-15,27.8,83.1,14.8,2.2
2,2024-06-16,28.6,80.8,9.8,1.4
2,2024-06-17,28.5,83.2,11.7,7.4
2,2024-06-18,27.4,87.3,14.6,30.3
2,2024-06-19,27.5,85.4,14.6,23.3
2,2024-06-20,27.3,88.4,15.3,48.6
2,2024-06-21,27.9,86.4,15.0,22.9
2,2024-06-22,27.7,85.5,12.1,5.3
2,2024-06-23,27.9,86.1,11.2,4.2
2,2024-06-24,27.8,86.0,9.4,11.3
2,2024-06-25,28.3,85.0,19.1,6.8
2,2024-06-26,28.1,87.2,22.9,23.0
2,2024-06-27,27.3,89.7,22.4,98.7
2,2024-06-28,27.2,88.7,23.7,45.3
